"Name","State","Notes","User","Tags","Created","Runtime","Sweep","batch_size","buffer_size","device","discount","env","eval_freq","group","keypoint_predictor_path","log_dir","max_timesteps","n_episodes","name","normalize","normalize_reward","project","reward_model_paths","seed","tau","actor_grad_norm","actor_loss","bc_loss","critic_grad_norm","critic_loss","d4rl_normalized_score","ql_loss","target_q_mean"
"kitchen-complete-v0_DiffusionQL_RelabeledEvaluativeRewardMlp_44","crashed","-","","","2024-09-07T22:15:41.000Z","172744","","256","2000000","cpu","0.99","kitchen-complete-v0","500","kitchen-complete-v0","","/scratch/slurm_tmpdir/job_24180991","1000000","10","kitchen-complete-v0_DiffusionQL_RelabeledEvaluativeRewardMlp_44","true","false","Uni-RLHF-DiffusionQL-Extended","[""../../rlhf/model_logs/kitchen-complete-v0/epoch_1000_query_200_len_100_seed_0/models/relabeled_evaluative_reward_mlp.pt""]","44","0.005","0.3795236945152282","-0.9999000430107116","0.02350803092122078","0.1870522648096085","0.001546074403449893","85","0.028507530689239505","14.376925468444824"
"kitchen-complete-v0_DiffusionQL_RelabeledEvaluativeRewardMlp_42","crashed","-","","","2024-09-05T08:34:45.000Z","172687","","256","2000000","cpu","0.99","kitchen-complete-v0","500","kitchen-complete-v0","","/scratch/slurm_tmpdir/job_24146687","1000000","10","kitchen-complete-v0_DiffusionQL_RelabeledEvaluativeRewardMlp_42","true","false","Uni-RLHF-DiffusionQL-Extended","[""../../rlhf/model_logs/kitchen-complete-v0/epoch_1000_query_200_len_100_seed_0/models/relabeled_evaluative_reward_mlp.pt""]","42","0.005","0.3682594895362854","-1.0007407665252686","0.028716085478663445","0.7043266892433167","0.0021711247973144054","75","0.03371978923678398","14.001201629638672"
"kitchen-complete-v0_DiffusionQL_HumanComparativeRewardMlp_42","crashed","-","","","2024-09-05T08:34:45.000Z","172685","","256","2000000","cpu","0.99","kitchen-complete-v0","500","kitchen-complete-v0","","/scratch/slurm_tmpdir/job_24146683","1000000","10","kitchen-complete-v0_DiffusionQL_HumanComparativeRewardMlp_42","true","false","Uni-RLHF-DiffusionQL-Extended","[""../../rlhf/model_logs/kitchen-complete-v0/epoch_1000_query_200_len_100_seed_0/models/human_comparative_reward_mlp.pt""]","42","0.005","0.32502540946006775","-1.0000308752059937","0.02086636424064636","0.4241037964820862","0.00670736376196146","67.5","0.025866519659757618","29.59286117553711"
"kitchen-complete-v0_DiffusionQL_HumanComparativeRewardMlp_43","crashed","-","","","2024-09-07T22:08:44.000Z","172686","","256","2000000","cpu","0.99","kitchen-complete-v0","500","kitchen-complete-v0","","/scratch/slurm_tmpdir/job_24180854","1000000","10","kitchen-complete-v0_DiffusionQL_HumanComparativeRewardMlp_43","true","false","Uni-RLHF-DiffusionQL-Extended","[""../../rlhf/model_logs/kitchen-complete-v0/epoch_1000_query_200_len_100_seed_0/models/human_comparative_reward_mlp.pt""]","43","0.005","0.35799434781074524","-1.000285506248474","0.034251868724823","0.6226580739021301","0.011018607765436172","67.5","0.03925329819321632","28.89637565612793"
"kitchen-complete-v0_DiffusionQL_RelabeledEvaluativeRewardMlp_43","crashed","-","","","2024-09-07T22:08:44.000Z","172685","","256","2000000","cpu","0.99","kitchen-complete-v0","500","kitchen-complete-v0","","/scratch/slurm_tmpdir/job_24180858","1000000","10","kitchen-complete-v0_DiffusionQL_RelabeledEvaluativeRewardMlp_43","true","false","Uni-RLHF-DiffusionQL-Extended","[""../../rlhf/model_logs/kitchen-complete-v0/epoch_1000_query_200_len_100_seed_0/models/relabeled_evaluative_reward_mlp.pt""]","43","0.005","0.46670329570770264","-0.9998008608818054","0.02858954295516014","0.1497889906167984","0.0017744263168424368","65","0.03358854725956917","13.78415870666504"
"kitchen-complete-v0_DiffusionQL_42","crashed","-","","","2024-09-05T08:34:45.000Z","172694","","256","2000000","cpu","0.99","kitchen-complete-v0","500","kitchen-complete-v0","","/scratch/slurm_tmpdir/job_24146678","1000000","10","kitchen-complete-v0_DiffusionQL_42","true","false","Uni-RLHF-DiffusionQL-Extended","[]","42","0.005","0.3682699203491211","-1.0002340078353882","0.03499284386634827","32.188655853271484","0.2358904629945755","62.5","0.0399940125644207","118.64732360839844"
"kitchen-complete-v0_DiffusionQL_HumanComparativeRewardMlp_44","crashed","-","","","2024-09-07T22:15:42.000Z","172762","","256","2000000","cpu","0.99","kitchen-complete-v0","500","kitchen-complete-v0","","/scratch/slurm_tmpdir/job_24180987","1000000","10","kitchen-complete-v0_DiffusionQL_HumanComparativeRewardMlp_44","true","false","Uni-RLHF-DiffusionQL-Extended","[""../../rlhf/model_logs/kitchen-complete-v0/epoch_1000_query_200_len_100_seed_0/models/human_comparative_reward_mlp.pt""]","44","0.005","0.41896724700927734","-0.9998286366462708","0.034900542348623276","1.3893427848815918","0.008588595315814018","57.49999999999999","0.039899684488773346","29.7699031829834"
"kitchen-mixed-v0_DiffusionQL_HumanComparativeRewardMlp_44","crashed","-","","","2024-09-07T22:15:41.000Z","172745","","256","2000000","cpu","0.99","kitchen-mixed-v0","500","kitchen-mixed-v0","","/scratch/slurm_tmpdir/job_24180997","1000000","10","kitchen-mixed-v0_DiffusionQL_HumanComparativeRewardMlp_44","true","false","Uni-RLHF-DiffusionQL-Extended","[""../../rlhf/model_logs/kitchen-mixed-v0/epoch_1000_query_200_len_100_seed_0/models/human_comparative_reward_mlp.pt""]","44","0.005","0.2729005217552185","-0.9998169541358948","0.0941530540585518","2.980133056640625","0.2443060278892517","57.49999999999999","0.09915214031934738","30.015357971191406"
"kitchen-mixed-v0_DiffusionQL_HumanComparativeRewardMlp_42","crashed","-","","","2024-09-05T08:34:45.000Z","172685","","256","2000000","cpu","0.99","kitchen-mixed-v0","500","kitchen-mixed-v0","","/scratch/slurm_tmpdir/job_24146693","1000000","10","kitchen-mixed-v0_DiffusionQL_HumanComparativeRewardMlp_42","true","false","Uni-RLHF-DiffusionQL-Extended","[""../../rlhf/model_logs/kitchen-mixed-v0/epoch_1000_query_200_len_100_seed_0/models/human_comparative_reward_mlp.pt""]","42","0.005","0.23742638528347015","-0.999554455280304","0.09361532330513","7.655294418334961","0.22553804516792297","55.00000000000001","0.09861309826374054","29.503917694091797"
"kitchen-mixed-v0_DiffusionQL_HumanComparativeRewardMlp_HumanKeypointPredictorMlp_42","crashed","-","","","2024-09-05T08:34:48.000Z","172684","","256","2000000","cpu","0.99","kitchen-mixed-v0","500","kitchen-mixed-v0","../../rlhf/model_logs/kitchen-mixed-v0/epoch_1000_query_25_len_100_seed_0/models/human_keypoint_predictor_mlp.pt","/scratch/slurm_tmpdir/job_24146691","1000000","10","kitchen-mixed-v0_DiffusionQL_HumanComparativeRewardMlp_HumanKeypointPredictorMlp_42","true","false","Uni-RLHF-DiffusionQL-Extended","[""../../rlhf/model_logs/kitchen-mixed-v0/epoch_1000_query_200_len_100_seed_0/models/human_comparative_reward_mlp.pt""]","42","0.005","0.299389123916626","-0.9994994401931764","0.11652830243110655","2.430548667907715","0.2081733345985413","55.00000000000001","0.12152580171823502","31.175094604492188"
