"Name","State","Notes","User","Tags","Created","Runtime","Sweep","actor_lr","batch_size","beta","buffer_size","device","discount","env","eval_freq","group","iql_deterministic","iql_tau","keypoint_predictor_path","load_model","max_timesteps","n_episodes","name","normalize","normalize_reward","project","qf_lr","reward_model_paths","seed","tau","vf_lr","log_dir","actor_loss","d4rl_normalized_score","q_loss","value_loss"
"kitchen-complete-v0_IQL_HumanKeypointPredictorMlp_1","crashed","-","","","2024-09-04T06:40:38.000Z","21481","","0.0003","256","10","2000000","cpu","0.99","kitchen-complete-v0","1000","kitchen-complete-v0","false","0.9","../../rlhf/model_logs/kitchen-complete-v0/epoch_1000_query_25_len_100_seed_0/models/human_keypoint_predictor_mlp.pt","","1000000","10","kitchen-complete-v0_IQL_HumanKeypointPredictorMlp_1","true","false","Uni-RLHF-IQL","0.0003","[]","1","0.005","0.0003","/scratch/slurm_tmpdir/job_24140475","-16.12249183654785","60","0.019460445269942284","0.0023386324755847454"
"kitchen-complete-v0_IQL_HumanComparativeRewardMlp_HumanKeypointPredictorMlp_2","crashed","-","","","2024-09-04T15:35:19.000Z","21571","","0.0003","256","10","2000000","cpu","0.99","kitchen-complete-v0","1000","kitchen-complete-v0","false","0.9","../../rlhf/model_logs/kitchen-complete-v0/epoch_1000_query_25_len_100_seed_0/models/human_keypoint_predictor_mlp.pt","","1000000","10","kitchen-complete-v0_IQL_HumanComparativeRewardMlp_HumanKeypointPredictorMlp_2","true","false","Uni-RLHF-IQL","0.0003","[""../../rlhf/model_logs/kitchen-complete-v0/epoch_1000_query_200_len_100_seed_0/models/human_comparative_reward_mlp.pt""]","2","0.005","0.0003","/scratch/slurm_tmpdir/job_24145501","-38.656002044677734","57.49999999999999","0.0020830905996263027","0.0002060593687929213"
"kitchen-mixed-v0_IQL_HumanComparativeRewardMlp_HumanKeypointPredictorMlp_1","crashed","-","","","2024-09-04T06:40:41.000Z","21474","","0.0003","256","10","2000000","cpu","0.99","kitchen-mixed-v0","1000","kitchen-mixed-v0","false","0.9","../../rlhf/model_logs/kitchen-mixed-v0/epoch_1000_query_25_len_100_seed_0/models/human_keypoint_predictor_mlp.pt","","1000000","10","kitchen-mixed-v0_IQL_HumanComparativeRewardMlp_HumanKeypointPredictorMlp_1","true","false","Uni-RLHF-IQL","0.0003","[""../../rlhf/model_logs/kitchen-mixed-v0/epoch_1000_query_200_len_100_seed_0/models/human_comparative_reward_mlp.pt""]","1","0.005","0.0003","/scratch/slurm_tmpdir/job_24140481","-158.7436981201172","47.5","146.25543212890625","28.71189308166504"
"kitchen-mixed-v0_IQL_1","crashed","-","","","2024-09-04T06:40:37.000Z","21481","","0.0003","256","10","2000000","cpu","0.99","kitchen-mixed-v0","1000","kitchen-mixed-v0","false","0.9","","","1000000","10","kitchen-mixed-v0_IQL_1","true","false","Uni-RLHF-IQL","0.0003","[]","1","0.005","0.0003","/scratch/slurm_tmpdir/job_24140478","-121.4897003173828","47.5","2.9121789932250977","0.4664041996002197"
"kitchen-complete-v0_IQL_HumanKeypointPredictorMlp_0","crashed","-","","","2024-09-03T13:52:20.000Z","21563","","0.0003","256","10","2000000","cpu","0.99","kitchen-complete-v0","1000","kitchen-complete-v0","false","0.9","../../rlhf/model_logs/kitchen-complete-v0/epoch_1000_query_25_len_100_seed_0/models/human_keypoint_predictor_mlp.pt","","1000000","10","kitchen-complete-v0_IQL_HumanKeypointPredictorMlp_0","true","false","Uni-RLHF-IQL","0.0003","[]","0","0.005","0.0003","","-1.1072449684143066","45","1.3079416751861572","0.05937149375677109"
"kitchen-partial-v0_IQL_2","finished","-","","","2024-09-04T16:18:14.000Z","20967","","0.0003","256","10","2000000","cpu","0.99","kitchen-partial-v0","1000","kitchen-partial-v0","false","0.9","","","1000000","10","kitchen-partial-v0_IQL_2","true","false","Uni-RLHF-IQL","0.0003","[]","2","0.005","0.0003","/scratch/slurm_tmpdir/job_24145518","-155.2716827392578","45","2.8920514583587646","0.5377458333969116"
"kitchen-partial-v0_IQL_HumanComparativeRewardMlp_2","crashed","-","","","2024-09-04T16:24:24.000Z","21541","","0.0003","256","10","2000000","cpu","0.99","kitchen-partial-v0","1000","kitchen-partial-v0","false","0.9","","","1000000","10","kitchen-partial-v0_IQL_HumanComparativeRewardMlp_2","true","false","Uni-RLHF-IQL","0.0003","[""../../rlhf/model_logs/kitchen-partial-v0/epoch_1000_query_200_len_100_seed_0/models/human_comparative_reward_mlp.pt""]","2","0.005","0.0003","/scratch/slurm_tmpdir/job_24145523","-73.82288360595703","45","0.7585777044296265","0.210185706615448"
"kitchen-mixed-v0_IQL_RelabeledEvaluativeRewardMlp_1","crashed","-","","","2024-09-04T06:40:39.000Z","21481","","0.0003","256","10","2000000","cpu","0.99","kitchen-mixed-v0","1000","kitchen-mixed-v0","false","0.9","","","1000000","10","kitchen-mixed-v0_IQL_RelabeledEvaluativeRewardMlp_1","true","false","Uni-RLHF-IQL","0.0003","[""../../rlhf/model_logs/kitchen-mixed-v0/epoch_1000_query_200_len_100_seed_0/models/relabeled_evaluative_reward_mlp.pt""]","1","0.005","0.0003","/scratch/slurm_tmpdir/job_24140487","-105.36214447021484","45","12.910662651062012","6.169685363769531"
"kitchen-complete-v0_IQL_HumanComparativeRewardMlp_HumanKeypointPredictorMlp_1","crashed","-","","","2024-09-04T06:40:38.000Z","21481","","0.0003","256","10","2000000","cpu","0.99","kitchen-complete-v0","1000","kitchen-complete-v0","false","0.9","../../rlhf/model_logs/kitchen-complete-v0/epoch_1000_query_25_len_100_seed_0/models/human_keypoint_predictor_mlp.pt","","1000000","10","kitchen-complete-v0_IQL_HumanComparativeRewardMlp_HumanKeypointPredictorMlp_1","true","false","Uni-RLHF-IQL","0.0003","[""../../rlhf/model_logs/kitchen-complete-v0/epoch_1000_query_200_len_100_seed_0/models/human_comparative_reward_mlp.pt""]","1","0.005","0.0003","/scratch/slurm_tmpdir/job_24140471","-51.97980880737305","45","0.0000710538515704684","0.00000849683510750765"
"kitchen-mixed-v0_IQL_HumanComparativeRewardMlp_HumanKeypointPredictorMlp_0","crashed","-","","","2024-09-03T19:15:07.000Z","21481","","0.0003","256","10","2000000","cpu","0.99","kitchen-mixed-v0","1000","kitchen-mixed-v0","false","0.9","../../rlhf/model_logs/kitchen-mixed-v0/epoch_1000_query_25_len_100_seed_0/models/human_keypoint_predictor_mlp.pt","","1000000","10","kitchen-mixed-v0_IQL_HumanComparativeRewardMlp_HumanKeypointPredictorMlp_0","true","false","Uni-RLHF-IQL","0.0003","[""../../rlhf/model_logs/kitchen-mixed-v0/epoch_1000_query_200_len_100_seed_0/models/human_comparative_reward_mlp.pt""]","0","0.005","0.0003","","-201.337890625","42.5","32.10677719116211","47.15202713012695"
